Title,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Read,Random Book,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
"A Reign of Rose (The Sacred Stones, #3)",Ngaio Marsh,1934,New Zealander,english,,False,,,,,,,,,,"A Reign of Rose (The Sacred Stones, #3)"
"A River Enchanted (Elements of Cadence, #1)",Nicole Chung|(Editor),,,,,False,,,,,,,,,,"A River Enchanted (Elements of Cadence, #1)"
A River Sutra,G. H. Hardy,1940,British,english,153,False,,,,,,,,,,A River Sutra
A Room of One's Own,Arkady Martine,2019,American,english,464,False,,,,,,,,,,A Room of One's Own
A Room of One's Own,Lionel Davidson,1962,British,english,320-384,False,,,,,,,,,,A Room of One's Own
A Room With a View,Toni Morrison,2008,American,english,167-192,False,,,,,,,,,,A Room With a View
A Rose for Emily,Poul Anderson,1974,American,english,192,False,,,,,,,,,,A Rose for Emily
A Running Duck,Monica Murphy,,,,,False,,,,,,,,,,A Running Duck
"A Ruse of Shadows (Lady Sherlock, #8)",J. L. Carr,1980,British,english,112,False,,,,,,,,,,"A Ruse of Shadows (Lady Sherlock, #8)"
A Sand County Almanac,Ellis Peters,1977,British,english,191-224,False,,,,,,,,,,A Sand County Almanac
A Scanner Darkly,Clare McHugh,,,,,False,,,,,,,,,,A Scanner Darkly
A Sentimental Education,Bruce Jay Friedman,1964,American,english,,False,,,,,,,,,,A Sentimental Education
A Series of Unfortunate Events #1,Deanna Raybourn,,,,,False,,,,,,,,,,A Series of Unfortunate Events #1
A Severed Head,G'afur G'ulоm,1940,Uzbek,uzbek,,False,,,,,,,,,,A Severed Head
"A Shadow in the Ember (Flesh and Fire, #1)",Sarah Head,,,,,False,,,,,,,,,,"A Shadow in the Ember (Flesh and Fire, #1)"
A Shining,Lisa Tuttle,1986,American,english,176,False,,,,,,,,,,A Shining
A Simple Plan,Ivan Turgenev,1859,Russian,russian,,False,,,,,,,,,,A Simple Plan
A Single Man,,,,,,,,,,,,,,,,A Single Man
A Snicker of Magic,,,,,,,,,,,,,,,,A Snicker of Magic
"A Song Below Water (A Song Below Water, #1)",,,,,,,,,,,,,,,,"A Song Below Water (A Song Below Water, #1)"
A Song for a New Day,,,,,,,,,,,,,,,,A Song for a New Day
A Song to Drown Rivers,Kazuo Ishiguro,1982,British,english,183,False,,,,,,,,,,A Song to Drown Rivers
A Sorceress Comes to Call,E. M. Forster,1924,British,english,200-400,False,,,,,,,,,,A Sorceress Comes to Call
A Spell For Chameleon,Howard Zinn,1980,American,english,600-750,False,,,,,,,,,,A Spell For Chameleon
A Sport and a Pastime,John le Carré,1986,British,english,400-700,False,,,,,,,,,,A Sport and a Pastime
"A Sprinkle of Sorcery (A Pinch of Magic, #2)",Jorge Luis Borges,1967,Argentinian,spanish,,False,,,,,,,,,,"A Sprinkle of Sorcery (A Pinch of Magic, #2)"
A Step Past Darkness,Val McDermid,1999,British,english,300-400,False,,,,,,,,,,A Step Past Darkness
"A Stitch in Time (A Stitch in Time, #1)",John Irving,1989,American,english,600-700,False,,,,,,,,,,"A Stitch in Time (A Stitch in Time, #1)"
A Storm Of Swords,Becky Chambers,,,,,False,,,,,,,,,,A Storm Of Swords
A Storm Of Wings,Edgar Rice Burroughs,1912,American,english,400,False,,,,,,,,,,A Storm Of Wings
A Stranger In Olondria,James Lee Burke,,,,,False,,,,,,,,,,A Stranger In Olondria
A Streetcar Named Desire,,,,,,,,,,,,,,,,A Streetcar Named Desire
"A Study in Drowning (A Study in Drowning, #1)",,,,,,,,,,,,,,,,"A Study in Drowning (A Study in Drowning, #1)"
A Study In Scarlet,Barack Obama,,,,,False,,,,,,,,,,A Study In Scarlet
A Study of History,Becky Chambers,,,,,False,,,,,,,,,,A Study of History
A Suitable Boy,Bessie Head,1973,Botswanan,english,192-215,False,,,,,,,,,,A Suitable Boy
A Summons to Memphis,R. J. Ellory,2007,British,english,400-600,False,,,,,,,,,,A Summons to Memphis
"A Sunlit Weapon (Maisie Dobbs, #17)",Lorraine Hansberry,1959,American,english,,False,,,,,,,,,,"A Sunlit Weapon (Maisie Dobbs, #17)"
A Supposedly Fun Thing I'll Never Do Again,Ivan Turgenev,1883,Russian,russian,,False,,,,,,,,,,A Supposedly Fun Thing I'll Never Do Again
A Sweet Sting of Salt,,,,,,,,,,,,,,,,A Sweet Sting of Salt
A Swiftly Tilting Planet,,,,,,,,,,,,,,,,A Swiftly Tilting Planet
A Tale For The Time Being,,,,,,,,,,,,,,,,A Tale For The Time Being
A Tale of Love and Darkness,,,,,,,,,,,,,,,,A Tale of Love and Darkness
A Tale of Two Cities,Rebecca Ross,,,,,False,,,,,,,,,,A Tale of Two Cities
"A Talent for Murder (Henry Kimball/Lily Kintner, #3)",Gita Mehta,1993,Indian,english,295,False,,,,,,,,,,"A Talent for Murder (Henry Kimball/Lily Kintner, #3)"
"A Tangle of Spells (A Pinch of Magic, #3)",Virginia Woolf,1929,British,english,112-148,False,,,,,,,,,,"A Tangle of Spells (A Pinch of Magic, #3)"
A Taste For Death,E. M. Forster,1908,British,english,200-300,False,,,,,,,,,,A Taste For Death
A Taste of Whiskey: Sasha Whiskey (The Whiskeys: Dark Knights at Redemption Ranch Book 4),William Faulkner,1930,American,english,,False,,,,,,,,,,A Taste of Whiskey: Sasha Whiskey (The Whiskeys: Dark Knights at Redemption Ranch Book 4)
"A Tempest of Tea (Blood and Tea, #1)",Paula Gosling,1978,American,english,,False,,,,,,,,,,"A Tempest of Tea (Blood and Tea, #1)"
A Theory of Justice,,,,,,False,,,,,,,,,,A Theory of Justice
A Thief Of Time,,,,,,,,,,,,,,,,A Thief Of Time
A Thousand Acres,,,,,,,,,,,,,,,,A Thousand Acres
A Thousand Heartbeats,,,,,,,,,,,,,,,,A Thousand Heartbeats
A Thousand Splendid Suns,Aldo Leopold,1949,American,english,200-300,False,,,,,,,,,,A Thousand Splendid Suns
A Time of Changes,Philip K. Dick,1977,American,english,220-300,False,,,,,,,,,,A Time of Changes
A Time Of Gifts,Gustave Flaubert,1869,French,french,300-500,False,,,,,,,,,,A Time Of Gifts
A Time To Kill,Lemony Snicket,1999,American,english,162-176,False,,,,,,,,,,A Time To Kill
A Tomb for Boris Davidovich,Iris Murdoch,1961,British,english,200-300,False,,,,,,,,,,A Tomb for Boris Davidovich
A Torch Against The Night,Jennifer L. Armentrout,,,,,False,,,,,,,,,,A Torch Against The Night
