Title,Writer,Publisher,Run,Read,Random Comic,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Beneath the Dead Oak Tree,"Carroll, Emily",ShortBox,4.0,False,,,,,,,,,,,Beneath the Dead Oak Tree
Beneath the Trees Where Nobodt Sees,,,,,,,,,,,,,,,Beneath the Trees Where Nobodt Sees
Berlin,"Lutes, Jason",Drawn and Quarterly,23.0,False,,,,,,,,,,,Berlin
Berserk,"Miura, Kentauro",Manga,40.0,False,,,,,,,,,,,Berserk
Big Jim and the White Boy,,,,,,,,,,,,,,,Big Jim and the White Boy
Birds of Prey,"Simone, Gail",DC,50.0,False,,,,,,,,,,,Birds of Prey
Birthright,"Williamson, Joshua",Image,35.0,False,,,,,,,,,,,Birthright
Black Cloak Vol 2,,,,,,,,,,,,,,,Black Cloak Vol 2
Black Hole,"Burns, Charles",Fantagraphics,12.0,False,,,,,,,,,,,Black Hole
"Black Monday Murders, The","Hickman, Jonathan",Image,8.0,False,,,,,,,,,,,The Black Monday Murders
Black Orchid,"Gaiman, Neil",Vertigo,8.0,False,,,,,,,,,,,Black Orchid
"Black Order, The","Landy, Derek",Marvel,5.0,False,,,,,,,,,,,The Black Order
Black Panther: World of Wakanda,"Gay, Roxane",Marvel,6.0,False,,,,,,,,,,,Black Panther: World of Wakanda
Black Science,"Remender, Rick",Image,42.0,False,,,,,,,,,,,Black Science
Black Widow,"Edmondson, Nathan",Marvel,20.0,False,,,,,,,,,,,Black Widow
Black Widow,"Waid, Mark",Marvel,12.0,False,,,,,,,,,,,Black Widow
Black Widow: Kiss or Kill,"Swierczynski, Duane",Marvel,5.0,False,,,,,,,,,,,Black Widow: Kiss or Kill
Black Widow: The Name of the Rose,"Liu, Marjorie",Marvel,8.0,False,,,,,,,,,,,Black Widow: The Name of the Rose
Blacksad,"Canales, Juan Diaz",Daragud,15.0,False,,,,,,,,,,,Blacksad
Blame!,"Nihei, Tsutomu",Manga,10.0,False,,,,,,,,,,,Blame!
Blankets,"Thompson, Craig",Drawn and Quarterly,30.0,False,,,,,,,,,,,Blankets
Blast,"Larcenet, Manu",Europe Comics,40.0,False,,,,,,,,,,,Blast
Bloodshot: Unleashed Collected,,,,,,,,,,,,,,,Bloodshot: Unleashed Collected
Blue Beetle,"Giffen, Keith",DC,16.0,False,,,,,,,,,,,Blue Beetle
Blurry,,,,,,,,,,,,,,,Blurry
Bone,"Smith, Jeff",Image,65.0,False,,,,,,,,,,,Bone
Bone Parish Complete Collection,,,,,,,,,,,,,,,Bone Parish Complete Collection
Books of Magic,"Gaiman, Neil",Vertigo,19.0,False,,,,,,,,,,,Books of Magic
"Boys, The","Ennis, Garth",Dynamite,85.0,False,,,,,,,,,,,The Boys
Brat,"DeForge, Michael",Koyama Press,4.0,False,,,,,,,,,,,Brat
Brat Pack,"Veitch, Rick",King Hell Press,5.0,False,,,,,,,,,,,Brat Pack
Briggs Land,"Wood, Brian",Dark Horse,12.0,False,,,,,,,,,,,Briggs Land
Brittle Joints,,,,,,,,,,,,,,,Brittle Joints
Bug! The Adventures of Forager,"Allred, Laura",DC,6.0,False,,,,,,,,,,,Bug! The Adventures of Forager
Building Stories,"Ware, Chris",Pantheon,1.0,False,,,,,,,,,,,Building Stories
C.O.W.L.,"Higgins, Kyle",Image,11.0,False,,,,,,,,,,,C.O.W.L.
Cable,"Swierczynski, Duane",Marvel,25.0,False,,,,,,,,,,,Cable
Cages,"McKean, Dave",Kitchen Sink Press,20.0,False,,,,,,,,,,,Cages
Calvin and Hobbes,"Waterson, Bill",Andrews McMeel,58.0,False,,,,,,,,,,,Calvin and Hobbes
Camelot 3000,"Barr, Mike",DC,12.0,False,,,,,,,,,,,Camelot 3000
Captain America,"Brubaker, Ed",Marvel,69.0,False,,,,,,,,,,,Captain America
Captain America,"Remender, Rick",Marvel,25.0,False,,,,,,,,,,,Captain America
Captain America,"Waid, Mark",Marvel,50.0,False,,,,,,,,,,,Captain America
Captain America,"DeMatteis, J.M.",Marvel,39.0,False,,,,,,,,,,,Captain America
Captain Britain,"Moore, Alan",Marvel,28.0,False,,,,,,,,,,,Captain Britain
Captain Britain & MI13,"Cornell, Paul",Marvel,16.0,False,,,,,,,,,,,Captain Britain & MI13
Casanova,"Fraction, Matt",Image,24.0,False,,,,,,,,,,,Casanova
Catwoman,"Brubaker, Ed",DC,38.0,False,,,,,,,,,,,Catwoman
Catwoman: Selina’s Big Score,"Cooke, Darwyn",DC,4.0,False,,,,,,,,,,,Catwoman: Selina’s Big Score
Catwoman: When in Rome,"Loeb, Jeph",DC,6.0,False,,,,,,,,,,,Catwoman: When in Rome
Cave Carson has a Cybernetic Eye,"Rivera, Jon",DC,18.0,False,,,,,,,,,,,Cave Carson has a Cybernetic Eye
Cerebus,"Sim, Dave",Aardvark-Vanaheim,305.0,False,,,,,,,,,,,Cerebus
Chainsaw Man Vol. 14-16,,,,,,,,,,,,,,,Chainsaw Man Vol. 14-16
Champions,"Waid, Mark",Marvel,18.0,False,,,,,,,,,,,Champions
Champions,"Zub, Jim",Marvel,21.0,False,,,,,,,,,,,Champions
Chew,"Layman, John",Image,60.0,False,,,,,,,,,,,Chew
