Title,System,Year,Played,Rating,Random Game,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Ape Escape 3,,2005,,7.7,,,,,,,,,,,,,Ape Escape 3
Ape Out,SWITCH,,FALSE,84,,,,,,,,,,,,,Ape Out
Apex Legends,PS4,,FALSE,89,,,,,,,,,,,,,Apex Legends
Apex Legends: Mobile,,2022,,7.5,,,,,,,,,,,,,Apex Legends: Mobile
Apocalypse,,1998,,7.6,,,,,,,,,,,,,Apocalypse
Apollo Justice: Ace Attorney,DS,,FALSE,78,,,,,,,,,,,,,Apollo Justice: Ace Attorney
Apollo Justice: Ace Attorney Trilogy,,2024,,8,,,,,,,,,,,,,
Aporkalypse: Pigs of Doom,,2010,,7.5,,,,,,,,,,,,,Aporkalypse: Pigs of Doom
Apotheon,PC,,FALSE,78,,,,,,,,,,,,,Apotheon
Apparatus,,2011,,7.5,,,,,,,,,,,,,Apparatus
Apprentice,,2003,,7.5,,,,,,,,,,,,,Apprentice
Aqua Aqua,PS2,,FALSE,79,,,,,,,,,,,,,Aqua Aqua
Aquaria,PC,,FALSE,82,,,,,,,,,,,,,Aquaria
AR-K: The Great Escape,,2015,,7.5,,,,,,,,,,,,,AR-K: The Great Escape
Ara: History Untold,,2024,,7.6,,,,,,,,,,,,,
Aragami: Shadow Edition,XBO,,FALSE,81,,,,,,,,,,,,,Aragami: Shadow Edition
Arc the Lad Collection,PlayStation,,FALSE,78,,,,,,,,,,,,,Arc the Lad Collection
Arcade Spirits,PC,,FALSE,78,,,,,,,,,,,,,Arcade Spirits
Arcanum: Of Steamworks and Magicks Obscura,PC,,FALSE,81,,,,,,,,,,,,,Arcanum: Of Steamworks and Magicks Obscura
Archangel: Hellfire,PC,,FALSE,79,,,,,,,,,,,,,Archangel: Hellfire
ArcheAge,PC,,FALSE,80,,,,,,,,,,,,,ArcheAge
Archvale,PC,,FALSE,82,,,,,,,,,,,,,Archvale
Arco,,2024,,7.8,,,,,,,,,,,,,
Arena of Valor,SWITCH,,FALSE,79,,,,,,,,,,,,,Arena of Valor
Arise,,2019,,7.5,,,,,,,,,,,,,Arise
Arise: A Simple Story - Definitive Edition,SWITCH,,FALSE,81,,,,,,,,,,,,,Arise: A Simple Story - Definitive Edition
Arizona Sunshine 2,PC,,FALSE,80,,,,,,,,,,,,,Arizona Sunshine 2
Arizona Sunshine II,,2023,,7.5,,,,,,,,,,,,,Arizona Sunshine II
Arkanoid vs Space Invaders,,2017,,7.7,,,,,,,,,,,,,Arkanoid vs Space Invaders
Arma III,,2013,,7.5,,,,,,,,,,,,,Arma III
Armadillo Run,PC,,FALSE,88,,,,,,,,,,,,,Armadillo Run
Armageddon Empires,,2007,,7.7,,,,,,,,,,,,,Armageddon Empires
Armed and Dangerous,PC,,FALSE,78,,,,,,,,,,,,,Armed and Dangerous
Armello,SWITCH,,FALSE,80,,,,,,,,,,,,,Armello
Armored Core,,1997,,7.6,,,,,,,,,,,,,Armored Core
Armored Core 2,PS2,,FALSE,78,,,,,,,,,,,,,Armored Core 2
Armored Core VI: Fires of Rubicon,PC,,FALSE,87,,,,,,,,,,,,,Armored Core VI: Fires of Rubicon
Arms,,2017,,7.5,,,,,,,,,,,,,Arms
Art Academy: Home Studio,Wii U,,FALSE,82,,,,,,,,,,,,,Art Academy: Home Studio
Art Academy: Lessons for Everyone,3DS,,FALSE,81,,,,,,,,,,,,,Art Academy: Lessons for Everyone
Art of Balance,Wii,,FALSE,88,,,,,,,,,,,,,Art of Balance
Art of Balance Touch!,3DS,,FALSE,82,,,,,,,,,,,,,Art of Balance Touch!
Art of Fighting 3: The Path of The Warrior,,1996,,7.7,,,,,,,,,,,,,Art of Fighting 3: The Path of The Warrior
art of rally,PC,,FALSE,79,,,,,,,,,,,,,art of rally
Art Style: ORBIENT,Wii,,FALSE,82,,,,,,,,,,,,,Art Style: ORBIENT
Art Style: PiCTOBiTS,DS,,FALSE,83,,,,,,,,,,,,,Art Style: PiCTOBiTS
"Artful Escape, The",PC,,FALSE,80,,,,,,,,,,,,,The Artful Escape
Arx Fatalis,,2002,,7.6,,,,,,,,,,,,,Arx Fatalis
Arzette: The Jewel of Faramore,,2024,,7.6,,,,,,,,,,,,,Arzette: The Jewel of Faramore
Arzette: The Jewel of Faramore,,2024,,7.7,,,,,,,,,,,,,
